id,valenceE,response.keys,rt,rtms,logrt,trial,word,prom.v
201,-0.5,up,0.77643013,776.43013,6.654706658,1,insecure,3.8
201,-0.5,down,0.941252947,941.252947,6.84721191,2,antisocial,3.8
201,-0.5,down,0.79353714,793.53714,6.676500344,3,moody,3.8
201,-0.5,down,0.775604963,775.604963,6.653643322,4,impulsive,3.8
201,-0.5,down,0.726908922,726.908922,6.58880119,5,tense,3.8
201,0.5,down,0.893244982,893.244982,6.794860879,6,tender,3.8
201,-0.5,down,0.559097052,559.097052,6.326323075,7,irritable,3.8
201,0.5,up,0.809092999,809.092999,6.695913866,8,thrifty,3.8
201,0.5,down,0.908303976,908.303976,6.811579098,9,brilliant,3.8
201,0.5,up,0.977444172,977.444172,6.884941177,10,wise,3.8
201,-0.5,down,1.059674025,1059.674025,6.965716616,11,boring,3.8
201,-0.5,up,0.826735973,826.735973,6.717485385,12,clumsy,3.8
201,-0.5,up,0.843029976,843.029976,6.737002516,13,anxious,3.8
201,0.5,up,0.840566874,840.566874,6.734076514,14,enthusiastic,3.8
201,0.5,up,0.675525904,675.525904,6.515491505,15,ambitious,3.8
201,-0.5,down,1.026120901,1026.120901,6.933540856,16,childish,3.8
201,0.5,NA,NA,NA,NA,17,outgoing,3.8
201,-0.5,up,1.559458017,1559.458017,7.352093615,18,fearful,3.8
201,0.5,up,1.175184965,1175.184965,7.069180831,19,courageous,3.8
201,0.5,up,0.991899014,991.899014,6.899621302,20,confident,3.8
201,-0.5,down,0.976801157,976.801157,6.884283107,21,timid,3.8
201,0.5,down,1.060844898,1060.844898,6.966820943,22,tidy,3.8
201,0.5,up,0.75861001,758.61001,6.631487825,23,persistent,3.8
201,-0.5,down,0.992153168,992.153168,6.899877499,24,forgetful,3.8
201,0.5,up,0.792772055,792.772055,6.675535734,25,orderly,3.8
201,0.5,up,0.990331173,990.331173,6.898039405,26,talented,3.8
201,-0.5,up,0.993607998,993.607998,6.901342761,27,messy,3.8
201,0.5,up,1.192473888,1192.473888,7.083785326,28,trusting,3.8
201,0.5,up,1.343604088,1343.604088,7.2031109,29,proud,3.8
201,0.5,up,0.774923801,774.923801,6.652764703,30,disciplined,3.8
201,-0.5,up,0.626119852,626.119852,6.43954181,31,stubborn,3.8
201,-0.5,up,1.075531006,1075.531006,6.980569778,32,inhibited,3.8
201,0.5,down,0.794030905,794.030905,6.677122384,33,neat,3.8
201,-0.5,up,0.809218168,809.218168,6.696068557,34,worrying,3.8
201,-0.5,up,0.659615994,659.615994,6.491657838,35,cynical,3.8
201,-0.5,down,0.742600918,742.600918,6.610158778,36,gullible,3.8
201,0.5,up,0.625544786,625.544786,6.438622928,37,idealistic,3.8
201,-0.5,down,0.958754063,958.754063,6.86563459,38,withdrawn,3.8
201,0.5,down,0.875257015,875.257015,6.774517575,39,artistic,3.8
201,0.5,up,0.742246151,742.246151,6.609680928,40,inventive,3.8
202,-0.5,down,1.476244926,1476.244926,7.29725693,1,insecure,3.8
202,0.5,up,0.72498703,724.98703,6.586153765,2,disciplined,3.8
202,-0.5,up,1.108602047,1108.602047,7.010855083,3,irritable,3.8
202,-0.5,down,1.358779907,1358.779907,7.214342449,4,withdrawn,3.8
202,0.5,up,0.725842953,725.842953,6.587333673,5,trusting,3.8
202,0.5,up,0.592477083,592.477083,6.384312194,6,talented,3.8
202,-0.5,down,1.625715971,1625.715971,7.393703595,7,childish,3.8
202,-0.5,down,1.510065079,1510.065079,7.319908028,8,messy,3.8
202,-0.5,up,0.808880091,808.880091,6.695650687,9,worrying,3.8
202,0.5,up,0.757745981,757.745981,6.630348212,10,persistent,3.8
202,0.5,up,0.591758966,591.758966,6.3830994,11,courageous,3.8
202,-0.5,down,2.126034021,2126.034021,7.662013561,12,fearful,3.8
202,-0.5,up,0.709203005,709.203005,6.564141811,13,stubborn,3.8
202,0.5,up,0.576113939,576.113939,6.356305452,14,proud,3.8
202,-0.5,up,0.876847982,876.847982,6.776333639,15,tense,3.8
202,0.5,up,0.792936087,792.936087,6.675742622,16,orderly,3.8
202,0.5,up,1.444204092,1444.204092,7.275313647,17,tidy,3.8
202,0.5,up,0.575605869,575.605869,6.355423171,18,confident,3.8
202,-0.5,up,0.893532038,893.532038,6.795182191,19,moody,3.8
202,-0.5,down,1.242665052,1242.665052,7.125013588,20,clumsy,3.8
202,-0.5,up,1.109902859,1109.902859,7.012027776,21,boring,3.8
202,0.5,up,0.775460005,775.460005,6.653456408,22,ambitious,3.8
202,-0.5,down,1.043532848,1043.532848,6.950367205,23,timid,3.8
202,-0.5,down,1.308906078,1308.906078,7.176947012,24,inhibited,3.8
202,0.5,up,1.324153185,1324.153185,7.188528428,25,enthusiastic,3.8
202,0.5,up,1.308738947,1308.738947,7.176819317,26,wise,3.8
202,0.5,down,1.342797995,1342.797995,7.202510772,27,thrifty,3.8
202,0.5,up,0.608772993,608.772993,6.411445445,28,outgoing,3.8
202,0.5,up,0.611086845,611.086845,6.415239085,29,neat,3.8
202,0.5,down,1.092108965,1092.108965,6.995865936,30,inventive,3.8
202,-0.5,up,0.992635012,992.635012,6.900363036,31,forgetful,3.8
202,-0.5,down,1.191838026,1191.838026,7.083251954,32,antisocial,3.8
202,-0.5,up,0.926002026,926.002026,6.830876423,33,anxious,3.8
202,0.5,up,0.792806864,792.806864,6.675579641,34,tender,3.8
202,0.5,up,0.758482933,758.482933,6.631320298,35,idealistic,3.8
202,0.5,up,0.575559855,575.559855,6.355343228,36,brilliant,3.8
202,-0.5,up,0.393021107,393.021107,5.973863318,37,cynical,3.8
202,-0.5,down,1.026015997,1026.015997,6.933438617,38,gullible,3.8
202,0.5,down,1.242034912,1242.034912,7.124506372,39,artistic,3.8
202,-0.5,up,1.642158031,1642.158031,7.403766528,40,impulsive,3.8
204,0.5,up,0.97615695,976.15695,6.883623383,1,artistic,4.4
204,-0.5,down,0.742563009,742.563009,6.610107728,2,gullible,4.4
204,0.5,up,0.594193935,594.193935,6.387205756,3,neat,4.4
204,-0.5,down,0.775370121,775.370121,6.653340491,4,impulsive,4.4
204,0.5,up,0.809697151,809.697151,6.69666029,5,thrifty,4.4
204,0.5,up,0.592213154,592.213154,6.383866628,6,ambitious,4.4
204,0.5,up,0.809190035,809.190035,6.696033791,7,trusting,4.4
204,0.5,down,0.842602015,842.602015,6.736494741,8,outgoing,4.4
204,0.5,up,0.943104982,943.104982,6.849177604,9,proud,4.4
204,-0.5,down,0.609926224,609.926224,6.413338006,10,boring,4.4
204,0.5,up,1.091324806,1091.324806,6.995147656,11,courageous,4.4
204,-0.5,down,0.875722885,875.722885,6.7750497,12,insecure,4.4
204,0.5,up,0.709933996,709.933996,6.565172002,13,tender,4.4
204,-0.5,down,0.959984064,959.984064,6.866916684,14,clumsy,4.4
204,-0.5,down,0.743292093,743.292093,6.611089094,15,moody,4.4
204,-0.5,down,0.725885868,725.885868,6.587392796,16,childish,4.4
204,-0.5,down,1.058744907,1058.744907,6.964839436,17,inhibited,4.4
204,-0.5,down,0.792232037,792.232037,6.674854325,18,withdrawn,4.4
204,-0.5,down,0.726948023,726.948023,6.58885498,19,messy,4.4
204,-0.5,down,0.858376026,858.376026,6.755042262,20,antisocial,4.4
204,0.5,down,1.391800165,1391.800165,7.238353271,21,inventive,4.4
204,-0.5,down,1.176858902,1176.858902,7.070604221,22,timid,4.4
204,0.5,up,0.858991861,858.991861,6.755759447,23,brilliant,4.4
204,-0.5,down,0.825510025,825.510025,6.716001407,24,forgetful,4.4
204,0.5,up,0.792859077,792.859077,6.675645497,25,orderly,4.4
204,-0.5,down,0.593091011,593.091011,6.385347863,26,fearful,4.4
204,0.5,up,0.756456137,756.456137,6.62864455,27,persistent,4.4
204,-0.5,up,0.909418821,909.418821,6.812805737,28,cynical,4.4
204,-0.5,down,0.676243067,676.243067,6.516552578,29,anxious,4.4
204,-0.5,up,0.775966883,775.966883,6.654109843,30,stubborn,4.4
204,0.5,down,0.891038895,891.038895,6.79238808,31,enthusiastic,4.4
204,0.5,up,0.561015844,561.015844,6.329749148,32,wise,4.4
204,-0.5,down,0.791898966,791.898966,6.674433815,33,irritable,4.4
204,0.5,up,0.624965906,624.965906,6.437697098,34,disciplined,4.4
204,0.5,up,0.727607012,727.607012,6.589761084,35,tidy,4.4
204,-0.5,up,0.909124851,909.124851,6.812482435,36,worrying,4.4
204,0.5,up,0.642563105,642.563105,6.46546503,37,talented,4.4
204,0.5,up,1.04205513,1042.05513,6.948950129,38,confident,4.4
204,-0.5,down,0.993720055,993.720055,6.901455532,39,tense,4.4
204,0.5,up,0.674777985,674.777985,6.514383726,40,idealistic,4.4
205,0.5,up,0.591831923,591.831923,6.383222681,1,courageous,4.2
205,0.5,up,0.991534948,991.534948,6.899254195,2,persistent,4.2
205,-0.5,down,1.275992155,1275.992155,7.151479316,3,fearful,4.2
205,0.5,up,0.808661938,808.661938,6.695380953,4,idealistic,4.2
